44;40
20;92
53;61
38;62
76;88
50;86
56;84
65;74
89;57
46;50
86;56
67;98
96;83
72;19
91;44
43;88
93;67
32;83
90;38
42;32
90;75
26;49
72;60
19;76
40;41
82;88
28;63
41;29
69;99
25;53
82;59
61;23
95;19
69;66
32;59
25;87
44;80
50;89
49;86
72;85
35;18
89;44
75;69
61;89
18;81
24;64
50;98
27;79
57;54
24;82
85;46
39;61
30;83
64;93
51;99
18;34
67;67
42;46
30;48
36;85
79;80
61;80
90;28
100;46
75;61
99;55
74;50
48;24
43;64
47;50
91;99
97;70
73;45
83;77
39;97
63;76
27;75
87;37
34;55
45;88
92;94
89;60
81;26
78;58
92;30
72;76
58;41
65;24
23;87
23;67
65;55
41;45
97;28
57;22
37;27
78;26
83;43
74;24
54;65
55;96
